2013-08-12 20:55:23 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[9934340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:23 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[10034340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:23 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[10134340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:24 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[10234340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:24 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[10334340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:24 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[10434340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:24 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[10534340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:24 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[10634340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:24 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[10734340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:25 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[10834340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:25 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[10934340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:25 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[11034340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:25 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[11134340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:25 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[11234340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:25 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[11334340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:26 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[11434340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:26 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[11534340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:26 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[11634340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:26 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[11734340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:26 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[11834340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:26 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[11934340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:26 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[12034340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:27 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[12134340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:27 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[12234340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:27 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[12334340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:27 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[12434340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:27 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[12534340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:27 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[12634340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:28 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[12734340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:28 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[12834340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:28 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[12934340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:28 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[13034340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:28 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[13134340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:28 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[13234340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:55:29 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[13334340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
